name,image,title,creator
Boulder_Dash,257,,
California_Games,256,,
Alley_Cat_(video_game),255,Alley Cat,
The_Ancient_Art_of_War_at_Sea,254,,
Grand_Theft_Auto,253,,k
Street_Fighter,237,,
Duke_Nukem,236,,
Pac-Man,225,Pac Man,
Bubble_Bobble,224,,
Prince_of_Persia,223,,
Karateka_(video_game),211,Karateka,
Tetris,190,,
Donkey_Kong,189,,
Castle_Wolfenstein,188,,
Styx_(Windmill_game),187,Styx,
Digger_(video_game),186,Digger,
Defender_of_the_Crown,165,,
Lode_Runner,139,,
King's_Quest,117,,
Leisure_Suit_Larry_in_the_Land_of_the_Lounge_Lizards,164,,
Frogger,140,,
Space_Quest,163,,
Thexder,138,,
Police_Quest,144,,
Space_Invaders,143,,
Chess,142,,
